year, month, day, tmax, tavg, tmin, humid, wind, sunshine, rainfall, snow, cloud
2021, 1, 1, 3.4, -1.6, -7.5, 70.8, 1.6, 5.9, 0.0, 2.8, 3.8
2021, 1, 2, 1.3, -1.3, -3.6, 57.8, 2.0, 7.8, 0.0, 0.1, 2.8
2021, 1, 3, 1.4, -2.1, -5.7, 56.0, 1.0, 3.7, 0.0, 0.0, 7.3
2021, 1, 4, 5.0, -0.2, -6.0, 64.0, 0.9, 5.4, 0.0, 0.0, 3.9
2021, 1, 5, 3.9, -1.4, -6.3, 61.9, 2.4, 5.3, 0.0, 0.0, 5.3
2021, 1, 6, -0.3, -3.7, -8.5, 60.9, 1.4, 8.6, 3.2, 7.0, 3.5
2021, 1, 7, -2.6, -10.5, -14.1, 62.3, 3.2, 7.4, 3.2, 11.9, 4.5
2021, 1, 8, -7.8, -12.4, -16.5, 60.5, 1.1, 8.6, 0.0, 7.2, 0.6
2021, 1, 9, -5.0, -10.0, -15.2, 59.3, 1.2, 9.0, 0.0, 5.7, 1.4
2021, 1, 10, -0.6, -6.2, -12.7, 64.5, 0.9, 3.3, 0.0, 5.2, 3.1
2021, 1, 11, -1.1, -4.0, -6.6, 67.3, 0.6, 0.1, 0.0, 4.6, 7.6
2021, 1, 12, 4.4, -0.6, -7.2, 70.4, 1.3, 5.9, 0.5, 5.8, 6.5
2021, 1, 13, 10.9, 5.8, -0.3, 64.3, 2.1, 7.6, 0.0, 3.8, 3.5
2021, 1, 14, 12.8, 5.5, 0.2, 67.1, 0.9, 7.0, 0.0, 0.0, 0.6
2021, 1, 15, 14.2, 7.9, 2.2, 75.3, 2.5, 0.4, 0.0, 0.0, 7.9
2021, 1, 16, 2.6, -1.5, -4.5, 63.8, 3.0, 4.7, 0.0, 0.0, 6.4
2021, 1, 17, 0.9, -2.6, -6.4, 57.6, 1.7, 8.9, 0.0, 0.0, 4.0
2021, 1, 18, 5.5, -0.4, -3.8, 74.9, 2.6, 4.9, 4.0, 6.9, 5.3
2021, 1, 19, 1.0, -3.8, -8.3, 51.4, 1.3, 9.3, 0.0, 0.0, 0.0
2021, 1, 20, 10.7, 2.0, -5.7, 47.1, 1.2, 9.2, 0.0, 0.0, 2.1
2021, 1, 21, 12.9, 8.1, 4.1, 75.8, 1.1, 2.3, 8.3, 0.0, 8.8
2021, 1, 22, 10.7, 8.4, 6.7, 93.6, 0.5, 0.0, 1.7, 0.0, 9.6
2021, 1, 23, 13.3, 9.8, 6.6, 77.9, 0.9, 0.0, 0.0, 0.0, 10.0
2021, 1, 24, 14.4, 8.9, 3.4, 62.4, 0.9, 8.8, 0.0, 0.0, 3.0
2021, 1, 25, 14.3, 8.1, 3.3, 64.4, 1.2, 8.4, 0.0, 0.0, 7.3
2021, 1, 26, 8.2, 5.6, 4.0, 85.6, 1.2, 0.3, 5.4, 0.0, 9.1
2021, 1, 27, 8.5, 3.8, 0.8, 52.1, 2.5, 7.8, 0.0, 0.0, 5.1
2021, 1, 28, 6.9, -0.5, -5.3, 65.8, 3.2, 2.8, 2.2, 0.6, 7.0
2021, 1, 29, -0.2, -4.5, -8.2, 56.4, 2.4, 9.4, 0.0, 0.5, 1.1
